Media Pembawa,OPTK,Negara Asal
"biji (true seeds), bunga (inflorescences), daun (leaves), umbi (bulbs, tubers, corms, rhizomes), tanah (soil)","[s]: Botryotinia aclada; [a]: Botrytis aclada Fresen., 1850; Fungi, Ascomycota, Pezizomycotina, Leotiomycetes, Helotiales, Sclerotiniaceae; grey mould of onion, neck rot of onion, leaf rot of onion, small sclerotial neck rot fungus, neck rot fungus, grey mould neck rot of onion, small sclerotial onion neck rot","Africa: Egypt, Kenya, Morocco, South Africa, Tanzania, Zambia America: Brazil, Canada, Chile, Colombia, Costa Rica, Guatemala, Jamaica, Panama, USA, Venezuela Asia: Afghanistan, Bangladesh, China, Georgia, India, Iran, Iraq, Israel, Japan, Jordan, Nepal, Pakistan, Saudi Arabia, Republic of Korea (South Korea), Taiwan, Turkey, Vietnam Europe: Austria, Belgium, Bulgaria, Cyprus, Czechia, Finland, France, Germany, Italy, Montenegro, Netherlands, Norway, Poland, Serbia, Slovakia, Slovenia, United Kingdom Oceania: Australia, New Zealand"
"umbi (bulbs, tubers, corms, rhizomes), tanah (soil)","[s]: Botryotinia porri (J.F.H. Beyma) Whetzel, 1945; [a]: Botrytis porri N.F. Buchw., 1949; (Syn. Sclerotinia porri J.F.H. Bey, a, 1927); Fungi, Ascomycota, Pezizomycotina, Leotiomycetes, Helotiales, Sclerotiniaceae; Botrytis rot of garlic, Botrytis rot of leek, seedling damping- off of onion, neck rot of onion, mycelia onion neck rot","America: Canada, Chile, USA, Venezuela Asia: China, Iran, Japan Europe: Finland, Germany, Hungary, Norway, United Kingdom Oceania: Australia, New Zealand"
"daun (leaves), tanaman (whole plant) ","[s]: - [a]: Cercospora duddiae ""Welles, 1923; Fungi, Ascomycota, Pezizomycotina, Dothideomycetes, Mycosphaerellales,"" Mycosphaerellaceae; ""leaf spot of onion and garlic, withertip onion of and garlic, leaf spot of garlic, leaf spot of onion"" ","Africa: Mauritius, Nigeria, Sierra Leone, Somalia, Uganda America: Barbados, Jamaica Asia: Brunei Darussalam, Burma, India, Malaysia, Oman, Yaman Oceania: Papua Nugini"
"biji (true seeds), daun (leaves), umbi (bulbs, tubers, corms, rhizomes)","[s]: Ciborinia allii (Sawada) L.M. Kohn, 1979; (Syn. Botryotinia allii (Sawada) W. Yamam., 1956); [a]: Botrytis allii Munn, 1917; (Syn. Botrytis byssoidea J.C. Walker, 1925, Sclerotinia allii Sawada, 1919); Fungi, Ascomycota, Pezizomycotina, Leotiomycetes, Helotiales, Sclerotiniaceae; neck rot of onion","Africa: Egypt America: Brazil, Dominican Republic, USA Asia: China, Japan, Republic of Korea (South Korea), Taiwan Europe: Bulgaria, Denmark, Netherlands, Norway, Poland, United Kingdom Oceania: Australia, New Zealand"
"""akar (roots), batang (stems (above ground), trunks, branches), benih (true"" seeds, grains) buah (fruits), bunga (flowers, inflorescences, cones, calyx), polong (pods), tunas (shoots) ","""[s]: Gibberella avenacea R.J. Cook, 1967; [a]: Fusarium avenaceum (Fr.) Sacc., 1886;"" ""(Syn. Fusarium avenaceum Fr., 1832, Fusarium avenaceum f. avenaceum (Fr.) Sacc., 1886, Fusarium avenaceum f. fabalis X.Y. Ruan, Y.M. Jiang, W. Luo & J.H. Wang, 1982, Fusarium avenaceum f. fabarum X.Y. Ruan, Y.M. Jiang, W. Luo & J.H. wang, 1982,  Fusarium avenaceum f. fabae (T.F. Yu) W. Yamam., 1955, Fusarium avenaceum subsp. avenaceum (Fr.) Sacc., 1886, Fusarium avenaceum subsp. volutum (Wollenw.) Raillo., 1950, Fusarium avenaceum var. avenaceum (Fr.) Sacc., 1886, Fusarium avenaceum var. fabae T.F. Yu, 1944, Fusarium avenaceum var. herbarum (Corda) Bilai., 1955, Fusarium avenaceum var. pallens Wollenw., 1924, Fusarium avenaceum var."" volutum (Wollenw.) Wollenw. & Reinking, ""1935, Fusarium graminum var. herbarum (Corda) Wollenw., 1930, Fusarium herbarum var. avenaceum (Fr.) Wollenw., 1930, Fusarium herbarum var. volutum Wollenw., 1930, Fusarium herbarum (Corda) Fr., 1849, Fusarium herbarum var. herbarum (Corda) Fr., 1849, Fusarium paspali Hennings, Fusarium roseum f. sp. cerealis 'Avenaceum (Cooke) Snyder & Hansen, Fusarium roseum var. avenaceum (Fries) W.C. Snyder & H.N Hansen, Solenosporium herbarum Corda, 1839); Fungi, Ascomycota, Sordariomycetes; Hypocreales, Nectriaceae; Fusarium blight, head blight, stem base disease, scab, foot rot of cereals, seedling blight of cereals, stalk rot of maize"" ","""Africa: Egypt, Ethiopia, Kenya, South Africa, Tunisia America: Argentina, Brazil, Canada, Chile, Mexico, Puerto"" ""Rico, Peru, Trinidad and Tobago, USA, Venezuela Asia: China, Georgia, India, Iran, Iraq, Israel, Japan, Kazakhstan, Republic of Korea (South Korea), Lebanon, Malaysia, Sri Lanka, Taiwan, Turkey, Uzbekistan Europe: Austria, Azerbaijan, Belarus, Belgium, Bulgaria, Croatia, Czechia, Federal Republic of Yugoslavia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Lithuania, Montenegro, Netherlands, Norway, Poland, Portugal, Romania, Russia, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Ukraine, United Kingdom Oceania: Australia, New Zealand, Papua Nugini"" "
"biji (true seeds), daun (leaves), umbi (bulbs)","[r]: Melampsora allii-populina Kleb., 1902; (Syn. Melampsora allii- populina f. allii-populina Kleb., 1902, Puccinia allii- populina (Kleb.) Gombkötô, Iváncsics, Latos Németh & P. Reisinger, 2011, Uredo allii-populina Arthur, 1906); Basidiomycota, Pucciniomycetes, Pucciniales, Melampsoraceae; rust of garlic, rust of onion","Africa: Algeria, Egypt, Ethiopia, Kenya, Libya, Mauritius, Morocco, Mozambique, South Africa, Tanzania, Tunisia, Uganda, Zimbabwe America: Argentina, Brazil, Canada, Chile, Guatemala, Mexico, Uruguay, USA Asia: Armenia, Azerbaijan, China, DPR Korea, India, Iran, Iraq, Israel, Japan, Kazakhstan, Kyrgystan, Lebanon, Myanmar, Pakistan, Philippines, Republic of Korea (South Korea), Saudi Arabia, Syria, Taiwan, Thailand, Turkmenistan, Uzbekistan, Yemen Europe: Austria, Bulgaria, Cyprus, Czech Republic, Czechoslovakia, Denmark, Estonia, Finland, Greece, Hungary, Ireland, Italy, Latvia, Malta, Moldova, Netherlands, Norway, Poland, Portugal, Russia, Serbia, Spain, Sweden, Switzerland, Turkey, Ukraine, United Kingdom Oceania: Australia, New Zealand"
buah (fruits),"""[s]: - [a]: Penicillium expansum Link, 1809; (Syn. Penicillium crustaceum Link, 1809, Penicillium crustaceum var. crustaceum Link, 1809, Penicillium expansum var. expansum Link, 1809, Penicillium glaucum Stoll,"" ""Penicillium glaucum var. coremium Sacc., 1886, Penicillium glaucum var. expansum Pers., 1822, Penicillium glaucum var. fasciculatum Pers., 1822, Penicillium glaucum var. foetidum Sopp, 1912, Penicillium glaucum var. glaucum Link, 1805, Penicillium glaucum var. inodorum Sopp, 1912, Penicillium glaucum var. minor Malchevsk., 1939, Penicillium glaucum var. pallidum Sopp, 1912); Fungi, Ascomycota, Eurotiomycetes, Eurotiales, Trichocomaceae; blue mould of stored apple, soft rot of apple, soft rot of grape, storage rot of fruit"" ","""Africa: Egypt, Ghana, Kenya, Mauritius, Morocco, Nigeria, South Africa, Zambia, Zimbabwe America: Argentina, Bolivia, Brazil, Canada, Chile, Honduras, Jamaica, Nicaragua, Peru, USA, Uruguay, Venezuela Asia: Armenia, Brunei Darussalam, China, DPR Korea (North Korea), Georgia, Hong"" ""Kong, India, Iran, Iraq, Israel, Japan, Kazakhstan, Malaysia, Pakistan, Philippines, Republic of Korea (South Korea), Saudi Arabia, Sri Lanka, Thailand, Turkey Europe: Belgium, Bulgaria, Cyprus, Czech Republic, Denmark, France, Greece, Italy, Latvia, Lithuania, Montenegro, Norway, Poland, Portugal, Romania, Serbia, Slovakia, Spain, Sweden, Ukraine, United Kingdom Oceania: Australia, New Zealand"" "
"""akar (roots), batang (stems (above"" ground), trunks, branches), umbi (bulbs), tunas (shoots) ",""". [s]: Stromatinia cepivora (Berk.) Whetzel, 1945);"" ""[a]: Sclerotium cepivorum Berk., 1841; Fungi, Ascomycota, Pezizomycotina, Leotiomycetes, Leotiomycetidae, Helotiales, Sclerotiniaceae; white rot of onion and garlic, onion white root rot, bulb rot of onion, Allium white rot, onion white rot"" ","Africa: Egypt, Ethiopia, Libya, South Africa, Uganda, Zimbabwe ""America: Argentina, Bolivia, Brazil, Canada, Chile, Colombia, Costa Rica, Guyana, Mexico, Uruguay, USA, Venezuela Asia: China, India, Iran, Japan, Oman, Philippines, Republic of Korea (South Korea) Europe: Austria, Bulgaria, Cyprus, Czechia,  Denmark, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Montenegro, Netherlands, Norway, Poland, Portugal, Romania, Russia, Serbia, Slovakia, Spain, Sweden, Switzerland, United Kingdom Oceania: Australia, New Zealand"" "
"batang (stems (above ground), tunas (shoots), batang (trunks), ranting (branches), umbi (bulbs, tubers, corms, rhizome), daun (leaves)",". [sm]: Urocystis cepulae Frost, 1877; (Syn. Tuburcinia cepulae (Frost) Liro, 1922, Tuburcinia magica (Pass.) Liro, 1922, Urocystis colchici var. capulae Cooke, 1877, Urocystis magica Pass., 1875); Fungi, Basidiomycota, Ustilaginomycotina, Ustilaginomycetes, Urocystidales, Urocystidaceae; onion smut, leek smut","Africa: Egypt, Gabon, Morocco America: Canada, Chile, Cuba, Mexico, Peru, Puerto Rico, Saint Lucia, USA Asia: China, DPR Korea (North Korea), India, Iran, Iraq, Israel, Japan, Kazakhstan, Nepal, Pakistan, Philippines, Republic of Korea (South Korea), Tajikistan, Taiwan, Thailand Europe: Austria, Belgium, Bulgaria, Czechia, Denmark, Finlandia, France, Germany, Greece, Italy, Malta, Montenegro, Netherlands, North Macedonia, Norway, Poland, Romania, Russia, Serbia, Slovakia, Slovenia, Sweden, Switzerland, United Kingdom Oceania: Australia, New Zealand"
"akar (roots), batang (stems), bibit (seedlings), biji (true seed), buah (fruits), media tanam (growing media), planlet, rimpang (rhizome), umbi lapis (corms)","""Erwinia rhapontici (Millard 1924) Burkhoder 1948; (Syn. Aplanobacter rhapontici (Millard) Elliott 1930, Bacillus rhaponthici (Millard) White 1936, Bacterium rhaponthici Millard 1924, Erwinia carotovora var. rhapontici (Millard) Dye, Pectobacterium rhapontici (Millard 1924) Patel and Kulkarni 1951, Phytomonas rhapontici Millard 1924, Pseudobacterium rhapontici (Millard) Krasil’nikov 1949, Xanthomonas rhapontici (Millard) Savulescu 1947);"" rhubarb crown rot; wheat pink seed; cereal pink grain ","America: Canada, Mexico, USA Asia: China, Iran, Israel, Japan, South Korea, Malaysia, Turkey Europe: Albania, Belgium, France, Hungary, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Russia, Switzerland, Ukraine, United Kingdom Oceania: New Zealand"
