Media Pembawa,OPTK,Negara Asal
"akar (roots), batang (stems), buah (fruits), bunga (inflorescence), polong (pods), daun (leaves)","""Pantoea agglomerans Gavini et al. 1989; (Syn. Bacterium herbicola Geilinger, Bacterium.typhi- flavum Breed, Corynebacterium beticola Abdou 1969, Enterobacter agglomerans (Beijerinck 1888) Ewig and Fife 1972, Enterobacter agglomerans pv. Millettiae (Kawakami and Yoshida 1920), Erwinia herbicola (Lohnis 1911) Dye 1964,  Erwinia herbicola pv. Millettiae (Kawakami and Yoshida 1920) Goto et al. 1980, Erwinia lathyri (Manns and Taubenhaus) Magrou"" ""1937, Erwinia mangiferae (Doidge) Bergey et al. 1923, Erwinia millettiae (Kawakami and Yoshida 1920) Magrou 1937, Erwinia vitivora (Baccarini) du Plessis 1940, Flavobacterium herbicola (Lohnis) Mack 1936, Falvobacterium rhenanum (Migula) Bergey et al. 1923, Flavobacterium trifolii (Huss) Bergey et al. 1923, Kurthia baccarinii (Macchiati) Pribram 1933, Pantoea agglomerans pv. Millettiae (Kawakami and Yoshida 1920), Phytomonas itoana (Tochinai) Magrou 1937, Pseudomonas herbicola (Lohnis) de’Rossi 1927, Pseudomonas itoana Tochinai 1932, Pseudomonas trifolii Huss 1907, Xanthomonas"" cosmosicola Rangaswami ""and Sanne Gowda 1963, Xanthomonas indica Rangaswami, Prasad and Eswaran 1961, Xanthomonas itoana (Tochinai) Dowson 1943, Xanthomonas maydis Rangaswami, Prasad and Eswaran 1961, Xanthomonas penniseti Rajagopalan and Rangaswami 1958, Xanthomonas rubrisorghi Rangaswami, Prasad and Eswaran 1961, Xanthomonas tagetis Rangaswami and Sanne Gowda 1963, Xanthomonas translucens f.sp. oryzae, Xanthomonas trifolii (Huss) James 1955); bacterial grapevine blight, bacterial rice leaf blight"" ","America: Barbados, Brazil, Canada, Chile, Cuba, USA, Venezuela Asia: China, Israel, Saudi Arabia Europe: Austria, Germany, Italy, Poland, United Kingdom Oceania: New Zealand"
"akar (roots), batang (stems), bibit (seedlings/Micropropag ated plants), buah (fruits inc. pods), daun (leaves),  rimpang (rhizome), umbi (bulbs, corms, tubers)","Pseudomonas marginalis pv. marginalis (Brown 1918) Stevens 1925; Kansas lettuce disease, leaf blight of chicory, leaf rot of lettuce, marginal lettuce leaf blight","Africa: Egypt, Ethiopia, Kenya, Nigeria, South Africa, Tanzania, Uganda, America: Argentina, Barbados, Bermuda, Brazil, Canada, USA, Venezuela. Asia: China, India, Japan, Democratic People's Republic of Korea (North Korea), Republic of Korea (South Korea), Taiwan Eropa: Austria, Belgium, France, Germany, Ireland, Italy, Netherland, Portugal, Serbia, Spain, UK, Oceacia: Australia, New Zealand"
"bibit (seedling, micropropagated plants), ""umbi (bulbs, corm, tubers), akar (roots), batang (stems), rimpang (rhizomes), bunga (flowers), daun (leaves), kultur jaringan (tissue culture)"" Vektor: Hemiptera Cicadellidae: Euscelis plebeja, Hishimonoides sellatiformis, Macrosteles quadrilineatus, Scaphytopius  magdalensis ","Candidatus Phytoplasma asteris; (Syn. Aster yellows ""phytoplasma group, Phytoplasma asteris, European aster yellows phytoplasma, Hydrangea virescence phytoplasma, Maize bushy stunt phytoplasma, Maryland aster yellows phytoplasma,"" phytoplasma, Olive witches' broom phytoplasma, Phytoplasma asteris); aster yellow, tomato big bud; western aster yellows, periwinkle little leaf, eastern aster yellows; purple coneflower yellows, multiplier disease, yellow Mulberry dwarf disease phytoplasma ","Africa: Egypt, South Africa America: Argentina, Bermuda, Brazil, Canada, Colombia, Costa Rica, Cuba, Guatemala, Mexico, Peru, Saint Vincent and the Grenadines, USA, Asia: China, India, Iran, Japan, Lebanon, Myanmar, Pakistan, Republic of Korea (South Korea), Sri Lanka, Taiwan, Thailand, Turkiye, Europe: Belarus, Belgium, Czech Republic, Finland, France, Germany, Greece, Hungary, Italy, Lithuania, Poland, Portugal, Romania, Russia, Spain, Ukraine, UK, Oceania: Australia."
"bibit (seedlings, micropropagated plants), suluran ""(stolon), tunas (buds, shoots), bagian vegetatif lainnya (vegetative materials), kultur jaringan (tissue culture)"" Vekor: Hemiptera, Psyllidae: Cacopsylla melanoneura, Cacopsylla picta, Fiberiella florii ","Candidatus Phytoplasma mali; (Syn. Apple proliferation ""phytoplasma, Apple witches’broom phytoplasma, Phytoplasma Mali); apple proliferation, witches' broom of apple,"" ","Africa: Tunisia America: Canada, Asia: Lebanon, Syria, Turkiye ""Europe: Albania, Austria, Belarus, Bosnia and Herzegovina, Belgium, Bulgaria, Croatia, Czechia, Finland, France, Germany, Greece, Hungary, Italy, Lithuania,"" Moldova, Netherlands, Norway, Poland, Romania, Russia Federation, Serbia, Slovakia, Slovenia, Spain, Switzerland, Ukraine "
"akar (roots), bahan perbanyakan vegetative (vegetative propagative material), batang (stems), bibit (seedlings, micropropagated plants), kultur jaringan (tissue culture) Vektor: Hemiptera Psyllidae: Cacopsylla pyri, Cacopsylla pyricola, Cacopsylla pyrisuga ","""Candidatus Phytoplasma pyri; (Syn. Pear decline phytoplasma, Pytoplasma pyri); pear decline, leaf curl of pear, moria disease of pear, Parry’s disease of pear,"" peach yellow leaf roll ","""Africa: Libya, Tunisia America: Argentina, Canada, Chile, USA Asia: Iran, Israel, Lebanon, Turkey Europe: Albania, Austria, Azerbaijan, Belarus, Belgium, Bosnia and Herzegovina,"" Bulgaria, Croatia, Czechia, France, Germany, Greece, Hungary, Italy, Moldova, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Switzerland, United Kingdom "
"batang (stems (above ground), trunks, branches), daun (leaves), kayu (woods), tunas (shoots, buds), kultur jaringan (tissue culture)","""Apple chlorotic leaf spot virus (ACLSV); (Syn. applpe chlorotic leaf spot virus, apple latent virus type 1, apple latent 1 virus, bark split virus, peach green mottle virus, pear ring pattern mosaic virus, ear ring mosaic virus, pear ring pattern mosaic virus, plum bark split virus, plum pseudopox virus, quince stunt virus, apricot butteratura), bark split of plum, bark split of prune, butteratura of apricot, chlorotic leaf spot of apple, dark sunken mottle of peach, incompatibility and"" decline of apricot, pseudo pox of apricot, pseudo pox of plum, ring pattern mosaic of pear, ring spot mosaic of mountain ash, viruela of apricot ","""Africa: Algeria, Egypt, Ethiopia, Morocco, South Africa, Tunisia America: Argentina, Brazil, Canada, Chile, Uruguay, USA Asia: Afghanistan, China, Georgia, India, Iran, Iraq, Israel, Japan, Jordan, Kazakhstan, Lebanon, Republic of Korea (South Korea), Syria, Taiwan, Turkey Europe: Albania, Austria, Belarus, Belgium, Bosnia and Herzegovia, Bulgaria, Croatia, Czechia Denmark, Finland, France, Germany, Greece, Hungary, Italy, Latvia, Malta, Moldova, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal,"" ""Romania, Russia, Serbia, Slovakia, Slovenia, Spain, Sweeden, Switzerland, Ukraine, United Kingdom Oceania: Australia, New Zealand"" "
"akar (roots), batang (stems (above ground), trunks, branches), buah (fruit), polong (pods), bunga (flowers, inflorescences, cones, calyx), tunas (shoots, buds), kultur jaringan (tissue culture)","Apple mosaic virus (ApMV); (Syn. apple mosaic virus, European plum line pattern virus, mountain ash variegation virus, birch line pattern virus, birch ringspot virus, Dutch plum line pattern virus, hop A virus, horse chestnut yellow mosaic virus, rose mosaic virus, hop virus A, hop virus C) ""chestnut mosaic, apple infectious variegation virus, peach line pattern, plum European line pattern, plum line pattern virus, rose infectious chlorosis virus, rose mosaic,  infectious variegation of horse chestnut, mosaic of apple, ring spot mosaic of mountain ash, yellow mosaic of horse shesnut"" ","""Africa: Algeria, Kenya, Morocco, South Africa, Tunisia, Zimbabwe America: Argentina, Brazil, Canada, Chile, Mexico, USA, Uruguay Asia: Bangladesh, China, India, Japan, Jordan, Lebanon, Pakistan, Syria, Turkey Europe: Albania, Austria, Azerbaijan, Belarus, Belgium, Bosnia and Herzegovina,"" ""Bulgaria, Belarus, Croatia, Cyprus, Czechia, Denmark, Finland, France, Germany, Greece, Hungary, Italy, Latvia, North Macedonia, Montenegro, Netherlands, Norway, Poland, Portugal, Romania, Russia, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Ukraine, United Kingdom Oceania: Australia, New Zealand"" "
"akar (roots), batang (stems (above ground), trunks, branches), biji (true seeds, grain), bunga (flowers, inflorescences, cones, ""calyxs), daun (leaves), kayu (woods), tanaman (whole plants), kultur jaringan (tissue culture)"" ","""Apple stem grooving virus (ASGV); (Syn. apple brown line virus, apple dark green epinasty virus, apple E36 virus, apple latent virus type 2, apple"" ""stem grooving capillovirus, apple top working disease, brown line virus disease, Chenopodium dark green epinasty virus, citrange stunt virus, Citrus tatter leaf virus, brown line virus disease, Virginia crab apple decline, Virginia crab stem grooving virus)"" ","""Africa: Egypt, Eswatini, Ethiopia, Morocco, South Africa, Tunisia America: Brazil, Canada, Netherlands Antilles, USA"" ""Asia: China, DPR Korea (North Korea), Georgia, India, Israel, Japan, Jordan, Nepal, Lebanon, Nepal, Pakistan, Republic of Korea (South Korea), Syria, Taiwan, Turkey Europe: Albania, Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus,  Czechia, Denmark, France, Germany, Greece, Hungary, Italy, Latvia, Lithuania, North Macedonia, Montenegro, Norway, Poland, Portugal, Romania, Russia, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Ukraine, United Kingdom Oceania: Australia, New Zealand"" "
"bahan perbanyakan vegetatif (vegetative propagative material), tanaman (whole plants), kultur jaringan (tissue culture) ","""Apple stem pitting virus (ASPV);"" ""(Syn. apple spy 227 epinasty & decline virus, apple stem pitting virus, hawthorn ring pattern mosaic virus, pear stony pit virus, pear vein yellows virus, quince sooty ringspot, pear red mottle) red mottle of pear, sooty ring spot of quince, spy epinasty & decline, stem pitting of apple, stony pit of pear, vein yellows of pear"" ","""Africa: Ethiopia, Morocco, South Africa, Tunisia"" ""America: Argentina, Brazil, Canada, Uruguay, USA Asia: Armenia, Azerbaijan, China, Georgia, India, Iran, Israel, Japan,  Kazakhstan, Kyrgyzstan, Lebanon, Republic of Korea (South Korea), Tajikistan, Taiwan, Turkmenistan, Turkey, Uzbekistan Europe: Albania, Austria, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Czechia, Denmark, Estonia, France, Germany, Greece, Hungary, Italy, Latvia, Lithuania, Montenegro, Netherlands, Norway, North Macedonia,  Republic of Moldova, Poland, Portugal, Romania, Russia, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom, Ukraine"" Oceania: Australia, New Zealand "
"batang (stems (above ground), trunks, branches), biji (true seeds, grains), polen (pollens), kultur jaringan (tissue culture)","Cherry leafroll virus (CLRV); (Syn. cherry leafroll virus, golden elderberry virus, walnut ringspot); walnut ringspot, berteroa ringspot, blackline disease of walnut, dogwood ringspot, elm mosaic, golden elderberry, red elder ringspot, sambucus ringspot, sambucus yellow net, walnut black line, walnut yellow vein, mosaic of ash, walnut yellow mosaic","Africa: Egypt, Tunisia America: Canada, Chile  Peru, USA Asia: China, Iran, Lebanon, Syria, Turkey Europe: Albania, Austria, Belgium, Bulgaria, Bosnia and Herzegovia, Croatia, Czechia, Finland, France, Germany, Greece, Hungary, Italy, Moldova, Montenegro, Netherlands, Norway, Poland, Portugal, Romania, Russia, Serbia, Slovakia, Spain, Switzerland, Ukraine Oceania: Australia, French Southern and Antarctic Territories, New Zealand"
"akar (roots), batang (stems (above ground), trunks, ""branches), buah (fruits), bunga (flower, inflorescences, cone, calyx), biji (true seeds, grains), bibit (seedlings, micropopagated plants), daun (leaves), kulit kayu (bark), tanaman (whole plants), tunas (shoots, buds), kultur jaringan (tissue culture)  Vektor: Xiphinema americanum, Xiphinema californicum, Xiphinema rivesi"" ","""Cherry rasp leaf virus (CRLV);"" ""(Syn. apple flat apple virus, cherry rasp leaf virus, flat apple virus);  American rasp leaf of cherry, flat apple   , rasp leaf of cherry"" ","America: Canada, USA Asia: China"
"akar (roots), batang (stems (above ground), trunks, branches), bibit (seedlings), biji (true seeds, grains), bunga (flowers, inflorescences, cones, calyx), polen (pollens), tunas (shoots, buds), kultur jaringan (tissue cultures)","""Prunus necrotic ringspot virus (PNRSV); (Syn. cherry line pattern virus, European plum line pattern virus, hop B virus, hop C virus, North American plum line pattern virus, peach ringspot virus, plum (North America) line pattern virus, plum line pattern virus, prunus necrotic ringspot ilarvirus, prunus ringspot virus,  red currant necrotic ringspot virus,  rose line pattern virus, rose chlorotic mottle virus, rose vein banding virus, rose yellow vein mosaic virus, sour cherry necrotic ringspot virus); bud failure of almond, calico of almond, decline of plum, European line pattern of plum, fruit necrosis of sour"" cherry, lace leaf of cherry, line pattern of apricot, line pattern of peach, mosaic of rose ","Africa: Algeria, Egypt, Morocco, South Africa, Tunisia America: Argentina, Brazil, Canada, Chile, Mexico, USA, Uruguay Asia: Afghanistan, China, India, Iran, Israel, Japan, Jordan, Lebanon, Republic of Korea (South Korea), Saudi Arabia, Syria, Turkey Europe: Albania, Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czechia, Denmark, France, Germany, Greece, Hungary, Italy, Latvia, Malta, Moldova, Montenegro, Netherlands, Poland, Portugal, Romania, Russia, Serbia, Slovakia, Slovenia, Spain, Sweden, Ukraine, United Kingdom Oceania: Australia, Fiji, New Zealand"
"""akar (roots), batang (stems (above ground), trunks, branches), daun (leaves),  kultur jaringan (tissue culture), tanaman (whole plants), umbi (bulbs, corms, tubers)"" Vektor: Olphidium brassicae ","Tobacco necrosis virus (TNV); (Syn. bean stipple streak virus, chenopodium necrosis necrovirus, cucumber necrosis virus, euonymus mosaic virus, strawberry necrotic rosette virus, tobacco necrosis necorvirus, tulip Augusta disease virus, tulip necrosis virus); augusta disease of tulip Spesies TNV ini meliputi: Tobacco necrosis virus A dan Tobacco necrosis virus D.","Africa: South Africa America: Brazil, Canada, USA. Asia: China, India, Japan, Turkey Europe: Belgium, Bosnia and Herzegovina, Bulgaria, Czechia, Denmark, France, Finland, Germany, Hungary, Italy, Latvia, Lithuania, Netherlands, Norway, Portugal, Romania, Russia, Slovakia, Spain, Sweden, Switzerland, United Kingdom Oceania: Australia, New Zealand"
"akar (roots), batang (stems (above ground), trunks, branches), buah (fruits), bunga (flowers, inflorescences), biji (true seeds, grains), ""daun (leaves),   kultur jaringan (tissue culture),  tanaman (whole plants), sulur (stolon)  Vektor: Dorylaimida: Longidoridae: Xiphinema americanum, Xiphinema rivesi"" ","""Tomato ringspot virus (ToRSV); (Syn. Apple union necrotic nepovirus, blackberry (Himalaya) mosaic virus, Eumonymus chlorotic ringspot virus, Eumonymus ringspot virus, grape yellow"" ""vein virus, gravein yellow vein virus, Nicotiana 13 virus, peach stem pitting virus, prune brown line virus,  prunus stem pitting virus, red currant mosaic vurus, tobacco ringspot virus 2, tomato ringspot virus, winter peach mosaic virus); apple union necrosis, chlorosis of pelargonium, grapevine yellow vein peach yellow bud mosaic, prunus stem pitting; redcurrant chlorosis mosaic, yellow blotch curl of raspberry, yellow bud mosaic of peach, yellow vein of grapevine, ringspot of tomato"" ","""Africa: Egypt, Togo America: Brazil, Canada, Chile, Colombia, Mexico, Puerto Rico, Peru, USA, Venezuela Asia: China, India, Iran, Japan, Jordan, Lebanon, Oman, Pakistan,  Republic of Korea (South Korea), Taiwan, Turkey"" Europe: Belarus, Croatia, France, Germany, Lithuania, Montenegro, Netherlands, Poland, Russia, Serbia, Spain, Slovakia, United Kingdom. Oceania: Fiji, New Zealand "
"batang (stems (above ground), trunks, branches), bibit (seedling), daun (leaves), tanaman (whole plants), tunas (shoots, buds), kultur jaringan (tissue culture)",Apple fruit crinkle apscaviroid (AFCVd); (Syn. apple fruit crinkle viroid),America: USA Asia: Japan
"akar (roots), batang (stems (above ground), trunks, branches), bunga (flowers, inflorescences, cones, calyx), buah (fruits), daun (leaves), kulit kayu (barks), tanaman (whole plants), kultur jaringan (tissue culture)","Hop stunt hostuviroid (HSVd); (Syn. hop stunt viroid, citrus cachexia viroid, citrus viroid II, cucumber pale fruit viroid, dapple plum and peach fruit disease viroid ); citrus xyloporosis, little leaf of citrus, stem pitting of sour orange, xyloporosis of citrus, citrus gummy bark viroid, grapevine viroid, hop stunt disease, mulberry vein clearing peach dapple viroid, plum dapple viroid","Africa: Algeria, Egypt, Libya, Morocco, Nigeria, South Africa, Sudan, Tunisia America: Argentina, Brazil, Canada, Chile, Colombia, Cuba, Ecuador, Jamaica, Suriname, Trinidad and Tobago, Uruguay, USA, Venezuela Asia: Azerbaijan, China, India, Iran, Israel, Japan, Jordan, Republic of Korea (South Korea), Lao PDR, Lebanon, Philippines, Saudi Arabia, Syria, Taiwan, Thailand, Turkey, Yemen Europe: Bosnia and Herzegovina, Cyprus, Czechia, France, Germany, Greece, Italy, Kosovo, Portugal, Serbia, Slovakia, Slovenia, Spain Oceania: Australia, New Zealand"
"batang (stems, shoots, branches), daun (leaves), buah (fruits (inc. pods))","Chrysomphalus aonidum (Linnaeus, 1758); ""(Syn. Aonidiella ficorum Ashmead, Aspidiotus (Chrysomphalus) aonidum"" ""(Linnaeus) Hempel, 1900, Aspidiotus (Chrysomphalus) ficus (Ashmead) Berlese, 1896, Aspidiotus aonidum (Linnaeus) Cockerell, 1905, Aspidiotus ficorum Ashmead, Aspidiotus ficus (Ashmead) Comstock, 1881, Chrysomphalus ficus Ashmead, 1880, Coccus aonidum Linnaeus, 1758); (Hemiptera: Diaspididae); red scale, Sircular black scale, black scale, circular black scale, circular purple scal, citrus black scale"" ","""Indonesia: Jawa, Sulawesi, Sumatera Africa: Algeria, Burundi, Comoros, Egypt, Ethiopia, Guinea, Kenya, Madagascar,"" ""Malawi, Mauritius, Morocco, Mozambique, Nigeria, Réunion, Senegal, Seychelles, South Africa, Spain, Sudan, Tanzania, Tunisia, Uganda, Zambia, Zimbabwe America: Argentina, Barbados, Bermuda, Brazil, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Dominica, Dominican Republic, El Salvador, French Guiana, Guadeloupe, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Panama, Paraguay, Puerto Rico, Saint Lucia, Saint Vincent and the Grenadines, Suriname, Trinidad and Tobago, USA, United States Virgin Islands, Uruguay, Venezuela Asia: Bhutan, British Indian Ocean Territory, China, DPR Korea (North Korea), Hong Kong, India, Iran, Iraq, Israel, Japan, Jordan, Lebanon, Malaysia,"" ""Myanmar, Oman, Pakistan, Philippines, Republic of Korea (South Korea), Saudi Arabia, Singapore, Sri Lanka, Syria, Taiwan, Thailand, Turkey, Vietnam, Yemen Europe: Belgium, Bosnia and Herzegovina, Croatia, Cyprus, Czechia, France, Germany, Greece, Hungary, Italy, Kosovo, Malta, Montenegro, North Macedonia, Netherlands, Poland, Portugal, Romania, Spain, Serbia, Slovenia Oceania: American Samoa, Australia, Cook Islands, Federated States of Micronesia, Fiji, French Polynesia, Kiribati, New Caledonia, Niue, Papua Nugini, Samoa, Solomon Islands, Tuvalu"" "
"batang (stems (above ground), trunks, shoots, branches), daun (leaves), buah (fruits), stalk","Diaspidiotus perniciosus ""(Comstock) Cockerell, 1899, Danzig, 1993; (=Aonidia fusca =Aonidiella fusca =A. perniciosa =Aspidiotus (Comstockaspis) perniciosus =A. (Diaspidiotus)"" ""andromelas =A. (Diaspidiotus) perniciosus =A. (Hemiberlesiana) perniciosus =A. perniciosus =A. albopunctatus =A. fuscus =A. perniciosus =Comstockaspis perniciosa =Diaspidiotus perniciosus =Hemiberlesia perniciosa =Quadraspidiotus perniciosus =Q.perniciosus); (Hemiptera: Diaspididae); California scale, Chinese scale, perniciosus scale, San José scale"" ","Indonesia: Jawa (Jawa Timur) Africa: Algeria, Angola, DR Congo, Congo, Morocco, South Africa, Tunisia, Zimbabwe America: Argentina, Bolivia, Brazil, Canada, Chile, Cuba, ""Ecuador, Mexico, Paraguay, Peru, USA, Uruguay, Venezuela Asia:  Armenia, Azerbaijan, Afghanistan, Bangladesh, Bhutan, Brunei, China, DPR Korea (North Korea), Georgia, India, Iran, Iraq, Japan, Jordan, Kazakhstan, Kyrgystan, Nepal, Pakistan, Republic of Korea (South Korea), Tajikistan, Taiwan, Tajikistan, Thailand, Turkey, Uzbekistan, Vietnam, Yemen Europe: Albania, Austria, Belgium, Bulgaria, Croatia, Cyprus, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Latvia, Lithuania, Malta, Moldova, Montenegro, Netherlands, North Macedonia, Poland, Portugal, Romania, Russia, Serbia, Slovakia, Slovenia, Spain,"" ""Switzerland, Ukraine, United Kingdom. Oceania: Australia, New Zealand"" "
"batang (stems (above ground), shoots, trunks, branches), daun (leaves), bunga (flowers, inflorescences, cones, ""calyx), buah (fruits), bibit (seedlings, micropropagated plants)"" ","Frankliniella occidentalis (Pergande); ""(Syn. Euthrips helianthi Moulton, 1911, Euthrips occidentalis Pergande, 1895,"" ""Euthrips tritici var. californicus Moulton, 1911, Frankliniella californica Moulton, Frankliniella canadensis Morgan, 1925, Frankliniella chrysanthemi Kurosawa, 1941, Frankliniella claripennis Morgan, 1925, Frankliniella conspicua Moulton, 1936, Frankliniella dahliae Moulton, 1948, Frankliniella dianthi Moulton, 1948, Frankliniella helianthi (Moulton), Frankliniella moultoni Hood, Frankliniella nubila Treherne, 1924, Frankliniella occidentalis f. brunnescens Priesner, 1932, Frankliniella occidentalis f. dubia Priesner, 1932, Frankliniella syringae Moulton, 1948, Frankliniella trehernei Morgan, Frankliniella tritici maculata"" ""Priesner, 1925, Frankliniella tritici var. moultoni Hood, 1914, Frankliniella umbrosa Moulton, 1948, Frankliniella venusta Moulton, 1936); (Thysanoptera: Thripidae); western flower thrips, alfalfa thrips, flower thrips, western (USA) grass thrips"" ","Indonesia: Jawa (Jawa Barat) Africa: Algeria, Burkina Faso, Egypt, Eswatini, Kenya, Morocco, Reunion, South Africa, Tunisia, Uganda, Zimbabwe ""America: Argentina, Brazil, Canada, Chile, Colombia, Costa Rica, Dominican Republic, Ecuador, Guadeloupe, Guatemala, Guyana, Martinique, Mexico, Panama, Peru, Puerto Rico, Uruguay, USA, Venezuela Asia: China, India, Iran, Israel, Japan, Republic of Korea (South Korea), Kuwait, Lebanon, Malaysia, Myanmar, Philippines, Qatar, Singapore, Sri Lanka, Taiwan, Turkey Europe: Albania, Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Malta, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, Russia, Slovakia, Slovenia, Spain,"" ""Sweden, Switzerland, Ukraine, United Kingdom Oceania: Australia, New Zealand"" "
"akar (roots), batang (stems (above ground), shoots, trunks, branches), bibit (seedlings, micropropagated ""plants), daun (leaves), kormus (corms), media tanam yang melekat pada tanaman (growing media associated with plants), stolon (stolons), tanah (soil), umbi (bulbs, tubers, corms, rhizomes)"" ","""Pratylenchus loosi Loof, 1960; Pratylenchidae; root lesion nematode, meadow nematode, Loos' root"" lesion nematode ","""Indonesia: Jawa (Jawa Barat) Africa: Senegal America: Brazil, Chile, Guadeloupe, USA Asia: Bangladesh, China, India,"" ""Japan, Iran, Republic of Korea (South Korea), Sri Lanka, Taiwan, Turkey Europe: Bulgaria Oceania: American Samoa, Australia, Cook Islands"" "
"akar (roots), batang (stems (above ground), trunks, branches), biji (true seeds, grains), buah (fruits, inc. pod), bunga (flowers, inflorescences, cones, calyx), daun (leaves), tanaman, polen (pollen), polong (pods), tunas (shoots), umbi (bulbs, tubers, corms, rhizomes)","""[s]: Sclerotinia sclerotiorum (Lib.) de Bary, 1884; (Syn. Helotium sclerotiorum (Lib.) Fuckel, 1866, Hymenoscyphus sclerotiorum (Lib.) W. Phillips, 1887, Sclerotinia libertiana Fuckel, 1870, Sclerotinia opuntiarum Speg., 1899, Sclerotinia sclerotiorum f. orobanches Naras. & Thirum., 1954, Sclerotinia sclerotiorum f. sclerotioru m (Lib.) de Bary, 1884, Sclerotinia sclerotiorum var. opuntiar um (Speg.) Alippi, 1960, Sclerotinia sclerotiorum"" ""var. sclerotiorum (Lib.) de Bary, 1884, Whetzelinia sclerotiorum (Lib.) Korf & Dumont, 1972); [a]: Sclerotium varium Pers., 1801; (Syn. Peziza coemansii J.J. Kickx, Peziza sclerotiorum Lib., 1837, Phialea sclerotiorum (Lib.) Gillet, 1881); Fungi, Ascomycota, Pezizomycotina, Leotiomycetes, Helotiales, Sclerotiniaceae; cottony soft rot, white rot, Sclerotinia wilt, Sclerotinia head rot, Sclerotinia blossom blight, Sclerotinia drop Sclerotinia soft rot, Sclerotinia stalk rot, Sclerotinia stem rot, collar rot, Sclerotinia pod rot, Sclerotinia canker, Sclerotinia twig blight, watery pod rot, white mould, sclerotinia disease"" ","""Indonesia: Jawa (Jawa Barat, Jawa Tengah) Africa: Algeria, Congo, DR Congo, Egypt, Ethiopia, Kenya, Libya, Malawi, Mauritius, Morocco, Nigeria, Saint Helena, South Africa, Tanzania, Zimbabwe America: Argentina, Bermuda, Bolivia, Brazil, Canada, Chile, Colombia, Costa Rica, Cuba, Ecuador, El Salvador, Guatemala, Mexico, Nicaragua, Panama, Peru, Uruguay, USA, Venezuela Asia: Bangladesh, China, Georgia, Hong Kong, India, Iran, Israel, Japan, Jordan, Lebanon, Nepal, Pakistan, Republic of Korea (South Korea), Singapore,"" ""Sri Lanka, Syria, Taiwan, Tajikistan, Thailand, Turkey, Uzbekistan, Vietnam Europe: Albania, Austria, Azerbaijan, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Lithuania, Macedonia, Malta, Moldova, Montenegro, Netherlands, Norway, Poland, Portugal, Romania, Russia, Serbia, Slovakia, Spain, Sweden, Switzerland, Ukraine, United Kingdom Oceania: American Samoa, Australia, Fiji, New Zealand, Samoa"" "
